iter	RMSE
0	77274.15128
1	74455.04625
2	71862.03763
3	69372.85254
4	66961.44406
5	64522.97057
6	62262.86491
7	60356.79464
8	58719.07771
9	56938.62513
10	55363.06085
11	53779.35456
12	52171.00322
13	50810.56485
14	49557.03516
15	48343.96485
16	47082.15252
17	45762.59274
18	44396.56303
19	43150.72511
20	42155.77831
21	41159.93708
22	40227.79097
23	39384.70033
24	38380.46204
25	37451.31209
26	36765.49499
27	35929.49019
28	35261.49949
29	34541.49304
30	33880.47441
31	33247.70978
32	32664.31064
33	32122.59071
34	31650.97047
35	31185.49614
36	30697.40548
37	30305.37494
38	29897.72939
39	29505.87831
40	29101.4859
41	28778.46957
42	28363.15438
43	28049.72552
44	27685.72468
45	27320.07403
46	27003.60092
47	26633.72508
48	26288.24961
49	25935.54751
50	25678.51982
51	25471.08024
52	25237.98584
53	24999.72291
54	24789.59003
55	24589.08967
56	24393.36363
57	24209.41681
58	24148.03409
59	23959.43228
60	23735.22348
61	23477.80693
62	23298.19848
63	23101.70712
64	22929.02366
65	22808.84066
66	22615.15098
67	22438.10538
68	22271.53826
69	22088.57708
70	21947.44904
71	21799.63619
72	21642.6894
73	21491.80745
74	21321.0301
75	21245.13703
76	21173.05141
77	21043.67207
78	21009.69812
79	20845.45219
80	20702.39402
81	20596.29504
82	20423.30005
83	20317.86687
84	20291.09856
85	20171.70391
86	20154.96463
87	20111.89838
88	19963.49054
89	19875.66021
90	19765.40843
91	19624.63991
92	19547.63036
93	19444.80085
94	19399.07506
95	19285.85327
96	19146.55431
97	19107.51017
98	19036.73136
99	18906.19981
100	18779.06344
101	18761.28076
102	18672.40076
103	18606.79205
104	18521.43253
105	18442.12568
106	18360.43943
107	18251.99805
108	18210.19991
109	18151.7299
110	18072.61625
111	17968.24756
112	17894.09908
113	17774.87056
114	17704.19945
115	17604.39067
116	17486.32977
117	17424.38103
118	17354.84819
119	17327.02882
120	17216.92691
121	17145.60115
122	17071.92582
123	16995.21845
124	16899.83588
125	16786.08565
126	16697.48509
127	16668.5886
128	16639.69973
129	16615.3299
130	16581.3954
131	16489.27991
132	16466.46827
133	16419.5104
134	16350.09513
135	16259.82279
136	16158.68373
137	16113.71169
138	16029.34907
139	15938.11804
140	15928.49768
141	15848.49073
142	15789.05432
143	15730.09002
144	15675.987
145	15607.44688
146	15534.16069
147	15454.65905
148	15361.54733
149	15249.92608
150	15182.56919
151	15119.30583
152	15063.55253
153	15022.79488
154	14993.70261
155	14938.73152
156	14871.72343
157	14821.32927
158	14740.1471
159	14694.52333
160	14642.73545
161	14617.33385
162	14568.58609
163	14519.34536
164	14458.59338
165	14394.87492
166	14382.11995
167	14292.48984
168	14234.93168
169	14212.64646
170	14150.198
171	14095.49249
172	14038.02296
173	13980.03563
174	13895.36987
175	13834.35905
176	13758.85194
177	13694.18666
178	13644.71633
179	13587.74473
180	13548.50777
181	13466.7791
182	13407.73232
183	13358.08195
184	13272.01784
185	13219.72018
186	13159.71517
187	13092.78053
188	13040.13147
189	12993.21956
190	12965.16841
191	12890.45761
192	12845.7145
193	12800.93235
194	12740.22534
195	12679.94966
196	12629.07574
197	12581.79885
198	12529.03941
199	12492.8759
200	12440.03469
201	12383.43903
202	12330.92236
203	12287.7478
204	12234.04898
205	12182.51481
206	12124.3268
207	12105.71957
208	12047.795
209	11996.38157
210	11939.75535
211	11905.47127
212	11875.10999
213	11834.37626
214	11774.26632
215	11749.51667
216	11711.13271
217	11668.30776
218	11644.58468
219	11604.55969
220	11551.8548
221	11499.03746
222	11490.89128
223	11465.87884
224	11452.30018
225	11403.90848
226	11352.50931
227	11292.25086
228	11248.80921
229	11196.78591
230	11146.87127
231	11089.28245
232	11046.43835
233	11003.09142
234	10955.36799
235	10921.5501
236	10862.42634
237	10815.93438
238	10784.10487
239	10737.74856
240	10698.87748
241	10644.16532
242	10600.9324
243	10572.19119
244	10542.07062
245	10509.7544
246	10458.19428
247	10449.30162
248	10419.77033
249	10361.41725
250	10318.36357
251	10284.4837
252	10243.1794
253	10230.21011
254	10197.66864
255	10168.40431
256	10135.45577
257	10111.02549
258	10081.61602
259	10026.10232
260	9973.787072
261	9938.265115
262	9902.98607
263	9851.579259
264	9847.413506
265	9812.293079
266	9772.788965
267	9729.506491
268	9688.686128
