iter	Passed	Remaining
0	1	8524
1	3	8391
2	4	8185
3	6	8304
4	7	8035
5	9	8823
6	12	9674
7	14	9729
8	15	9477
9	17	9226
10	18	9044
11	19	8885
12	20	8703
13	22	8573
14	23	8538
15	25	8552
16	27	8601
17	28	8512
18	29	8450
19	31	8398
20	32	8311
21	33	8268
22	34	8196
23	36	8106
24	37	8044
25	38	7982
26	39	7936
27	41	7993
28	43	8046
29	44	8044
30	46	8019
31	47	8004
32	49	8002
33	50	7979
34	51	7932
35	52	7881
36	53	7831
37	55	7809
38	56	7854
39	58	7885
40	60	7869
41	61	7849
42	62	7807
43	64	7835
44	65	7831
45	66	7821
46	68	7801
47	69	7775
48	70	7775
49	72	7791
50	74	7813
51	75	7792
52	76	7774
53	78	7761
54	79	7775
55	81	7768
56	82	7744
57	83	7721
58	84	7703
59	86	7697
60	87	7695
61	89	7746
62	91	7755
63	92	7753
64	94	7745
65	95	7725
66	96	7711
67	97	7688
68	98	7662
69	100	7642
70	101	7644
71	103	7647
72	104	7656
73	105	7644
74	107	7632
75	108	7623
76	109	7591
77	110	7577
78	111	7561
79	113	7544
80	114	7526
81	115	7512
82	116	7518
83	118	7531
84	120	7541
85	122	7576
86	123	7592
87	125	7605
88	126	7594
89	128	7578
90	129	7567
91	130	7550
92	131	7556
93	133	7550
94	134	7538
95	135	7533
96	137	7524
97	138	7502
98	139	7504
99	141	7498
100	142	7491
101	143	7503
102	145	7494
103	146	7496
104	148	7496
105	150	7522
106	152	7555
107	153	7568
108	155	7585
109	157	7580
110	158	7567
111	159	7555
112	160	7545
113	162	7548
114	163	7556
115	165	7573
116	167	7583
117	169	7603
118	170	7600
119	172	7594
120	173	7584
121	174	7573
122	175	7565
123	177	7566
124	178	7577
125	180	7581
126	182	7600
127	184	7606
128	185	7616
129	187	7612
130	188	7607
131	189	7596
132	190	7585
133	192	7596
134	193	7589
135	195	7599
136	197	7607
137	199	7636
138	201	7633
139	202	7625
140	203	7623
141	205	7625
142	206	7627
143	208	7619
144	209	7610
145	211	7638
146	214	7673
147	215	7689
148	217	7684
149	218	7677
150	219	7668
151	221	7659
152	222	7661
153	224	7656
154	225	7647
155	227	7663
156	229	7674
157	230	7687
158	232	7686
159	233	7676
160	234	7667
161	236	7666
162	238	7671
163	239	7663
164	240	7663
165	242	7679
166	244	7675
167	245	7684
168	247	7680
169	248	7675
170	250	7670
171	251	7679
172	252	7668
173	254	7658
174	255	7650
175	256	7644
176	258	7652
177	260	7670
178	262	7675
179	263	7666
180	264	7659
181	266	7657
182	267	7647
183	268	7638
184	269	7630
185	271	7622
186	273	7635
187	274	7637
188	275	7630
189	277	7638
190	278	7629
191	280	7620
192	281	7615
193	282	7612
194	284	7608
195	285	7604
196	286	7602
197	288	7600
198	289	7603
199	291	7601
200	293	7618
201	294	7610
202	295	7602
203	297	7597
204	298	7589
205	299	7583
206	301	7579
207	302	7579
208	305	7602
209	306	7600
210	308	7608
211	310	7622
212	311	7621
213	313	7612
214	314	7604
215	315	7598
216	316	7591
217	318	7603
218	320	7610
219	322	7618
220	323	7617
221	325	7615
222	327	7630
223	328	7625
224	330	7625
225	331	7621
226	333	7616
227	334	7623
228	336	7627
229	338	7643
230	340	7645
231	342	7646
232	343	7640
233	344	7631
234	345	7625
235	347	7619
236	348	7618
237	350	7625
238	352	7627
239	353	7624
240	355	7630
241	357	7636
242	358	7631
243	359	7626
244	361	7621
245	362	7617
246	363	7618
247	365	7623
248	367	7633
249	369	7627
250	370	7624
251	372	7628
252	373	7625
253	375	7622
254	376	7616
255	377	7610
256	379	7610
257	380	7610
258	382	7616
259	384	7618
260	385	7619
261	387	7617
262	388	7612
263	389	7605
264	390	7598
265	392	7592
266	393	7588
267	394	7587
268	396	7588
